patient_priority,food_name_en,food_name_hi,category,meal_slots,reference_portion,source_food_name,source_category,calories_per_100g,data_status,nutrition_source,source_note,verified_protein_g_100g,verified_carbs_g_100g,verified_fat_g_100g,verified_fibre_g_100g,verified_sodium_mg_100g
high,Apple,सेब,fruit,"breakfast,snack",1 medium (~182g),Apple,Fruits,52.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Fruits; duplicate variants in raw dataset: 1,0.3,14,0.2,2.4,1
high,Guava,अमरूद,fruit,"breakfast,snack",1 medium (~100g),Guava,Fruits,68.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: Fruits; duplicate variants in raw dataset: 2,2.6,14,1,5.4,2
high,Papaya,पपीता,fruit,"breakfast,snack",1 cup (~140g),Papaya,Fruits,43.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Fruits; duplicate variants in raw dataset: 1,0.5,11,0.3,1.7,8
high,Orange,संतरा,fruit,"breakfast,snack",1 medium (~130g),Orange,Fruits,47.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Fruits; duplicate variants in raw dataset: 1,0.9,12,0.1,2.4,0
high,Watermelon,तरबूज,fruit,snack,1 cup (~150g),Watermelon,Fruits,30.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: Fruits; duplicate variants in raw dataset: 3,0.6,8,0.2,0.4,1
high,Pear,नाशपाती,fruit,snack,1 medium (~178g),Pear,Fruits,57.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Fruits; duplicate variants in raw dataset: 1,0.4,15,0.1,3.1,1
high,Banana,केला,fruit,snack,1 medium (~118g),Banana,Fruits,89.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: Fruits; duplicate variants in raw dataset: 2,1.1,23,0.3,2.6,1
high,Tomato,टमाटर,salad_vegetable,all_meals,1 medium (~120g),Tomato,Vegetables,18.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Vegetables; duplicate variants in raw dataset: 1,0.9,3.9,0.2,1.2,5
high,Cucumber,खीरा,salad_vegetable,all_meals,1 medium (~100g),Cucumber,Vegetables,16.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Vegetables; duplicate variants in raw dataset: 1,0.7,3.6,0.1,0.5,2
high,Carrot,गाजर,salad_vegetable,all_meals,1 medium (~61g),Carrot,Vegetables,41.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Vegetables; duplicate variants in raw dataset: 1,0.9,10,0.2,2.8,69
high,Onion,प्याज,vegetable,"lunch,dinner",1 medium (~110g),Onion,Vegetables,40.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: Vegetables; duplicate variants in raw dataset: 2,1.1,9.3,0.1,1.7,4
high,Spinach,पालक,vegetable,"lunch,dinner",1 cup raw (~30g),Spinach,Vegetables,23.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Vegetables; duplicate variants in raw dataset: 1,2.9,3.6,0.4,2.2,79
high,Cabbage,पत्ता गोभी,vegetable,"lunch,dinner",1 cup (~89g),Cabbage,Vegetables,25.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Vegetables; duplicate variants in raw dataset: 1,1.3,5.8,0.1,2.5,18
high,Cauliflower,फूल गोभी,vegetable,"lunch,dinner",1 cup (~100g),Cauliflower,Vegetables,25.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Vegetables; duplicate variants in raw dataset: 1,1.9,5,0.3,2,30
high,Eggplant,बैंगन,vegetable,"lunch,dinner",1 cup (~82g),Eggplant,Vegetables,25.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Vegetables; duplicate variants in raw dataset: 1,1,6,0.2,3,2
high,Okra,भिंडी,vegetable,"lunch,dinner",1 cup (~100g),Okra,Vegetables,33.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: Vegetables; duplicate variants in raw dataset: 3,1.9,7.5,0.2,3.2,7
high,Green Beans,फ्रेंच बीन्स,vegetable,"lunch,dinner",1 cup (~125g),Green Beans,Vegetables,31.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: Vegetables; duplicate variants in raw dataset: 2,1.8,7,0.1,3.4,6
high,Peas,मटर,vegetable,"lunch,dinner",1 cup (~145g),Peas,Vegetables,81.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: Vegetables; duplicate variants in raw dataset: 3,5.4,14,0.4,5.7,5
high,Potato,आलू,vegetable,"lunch,dinner",1 medium (~150g),Potato,PotatoProducts,77.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: PotatoProducts; duplicate variants in raw dataset: 2,2,17,0.1,2.2,6
high,Gourd,लौकी,vegetable,"lunch,dinner",100g,Gourd,Vegetables,14.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Vegetables; duplicate variants in raw dataset: 1,0.6,3.4,0,0.5,2
high,Almonds,बादाम,nuts,"breakfast,snack",5 pieces (~6g),Almonds,Nuts&Seeds,575.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: Nuts&Seeds; duplicate variants in raw dataset: 2,21,22,50,12.5,1
high,Walnuts,अखरोट,nuts,"breakfast,snack",2 halves (~8g),Walnuts,Nuts&Seeds,654.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: Nuts&Seeds; duplicate variants in raw dataset: 2,15,14,65,6.7,2
high,Peanuts,मूंगफली,nuts,snack,15g,Peanuts,Legumes,567.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: Legumes; duplicate variants in raw dataset: 2,26,16,49,8.5,18
high,Chia Seeds,चिया सीड,seeds,morning,10g,Chia Seeds,Nuts&Seeds,486.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Nuts&Seeds; duplicate variants in raw dataset: 1,17,42,31,34,16
high,Chickpeas,काबुली चना,legume,"breakfast,lunch,dinner",1 katori cooked (~150g),Chickpeas,Legumes,364.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Legumes; duplicate variants in raw dataset: 1,19,61,6,17,24
high,Black Chickpeas,काला चना,legume,"breakfast,lunch,dinner",1 katori cooked (~150g),Black Chickpeas,Legumes,364.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Legumes; duplicate variants in raw dataset: 1,19,63,6,12,24
high,Mung Beans,मूंग,legume,"breakfast,lunch,dinner",1 katori cooked (~150g),Mung Beans,Legumes,12.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Legumes; duplicate variants in raw dataset: 1,3.2,2,0.1,0.8,4
high,Lentils,मसूर/दाल,legume,"lunch,dinner",1 katori cooked (~150g),Lentils,Legumes,353.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Legumes; duplicate variants in raw dataset: 1,25,60,1,11,6
high,Brown Lentil,भूरी दाल,legume,"lunch,dinner",1 katori cooked (~150g),Brown Lentil,Legumes,353.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Legumes; duplicate variants in raw dataset: 1,25,60,1,11,6
high,Red Lentils,मसूर दाल,legume,"lunch,dinner",1 katori cooked (~150g),Red Lentils,Legumes,329.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Legumes; duplicate variants in raw dataset: 1,24,56,1.1,11,6
high,Kidney Beans,राजमा,legume,"lunch,dinner",1 katori cooked (~150g),Kidney Beans,Legumes,337.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Legumes; duplicate variants in raw dataset: 1,24,60,0.8,25,2
high,Brown Rice,ब्राउन राइस,grain,"lunch,dinner",1 cup cooked (~195g),Brown Rice,CerealProducts,388.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: CerealProducts; duplicate variants in raw dataset: 2,7.9,77,2.9,3.5,7
high,Puffed Rice,मुरमुरा,grain,snack,1 cup (~14g),Puffed Rice,"Oatmeal,Muesli&Cereals",383.0,source_value_available,Uploaded Kaggle base dataset,"Source row/category: Oatmeal,Muesli&Cereals; duplicate variants in raw dataset: 1",6,87,0.5,1.6,3
high,Whole Grain Wheat,गेहूं,grain,roti,30g dry flour-equivalent*,Whole Grain Wheat,CerealProducts,339.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: CerealProducts; duplicate variants in raw dataset: 1,13,72,2.5,12,2
high,Durum Wheat Semolina,सूजी,grain,breakfast,30g dry,Durum Wheat Semolina,CerealProducts,397.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: CerealProducts; duplicate variants in raw dataset: 2,12.7,73,1.1,3.9,1
high,Milk,दूध,dairy,"breakfast,bedtime",200ml,Milk,Milk&DairyProducts,61.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: Milk&DairyProducts; duplicate variants in raw dataset: 2,3.2,5,3.3,0,44
high,Skim Milk,स्किम मिल्क,dairy,"breakfast,bedtime",200ml,Skim Milk,Milk&DairyProducts,35.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Milk&DairyProducts; duplicate variants in raw dataset: 1,3.4,5,0.1,0,52
high,Low-Fat Yogurt,लो-फैट दही,dairy,"breakfast,lunch,dinner",150g,Low-Fat Yogurt,Yogurt,63.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Yogurt; duplicate variants in raw dataset: 1,5.3,7,1.6,0,70
high,Plain Yogurt,सादा दही,dairy,"breakfast,lunch,dinner",150g,Plain Yogurt,Milk&DairyProducts,61.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: Milk&DairyProducts; duplicate variants in raw dataset: 2,3.5,4.7,3.3,0,46
high,Buttermilk,छाछ,dairy,"lunch,evening",200ml,Buttermilk,Milk&DairyProducts,62.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: Milk&DairyProducts; duplicate variants in raw dataset: 2,3.3,4.9,3.3,0,105
high,Almond Milk,बादाम दूध,dairy,breakfast,200ml,Almond Milk,Milk&DairyProducts,17.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Milk&DairyProducts; duplicate variants in raw dataset: 1,0.6,0.3,1.1,0.2,67
high,Egg,अंडा,protein,"breakfast,dinner",1 large (~50g),Egg,BakingIngredients,97.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: BakingIngredients; duplicate variants in raw dataset: 2,13,1.1,11,0,142
high,Chicken Breast,चिकन ब्रेस्ट,protein,"lunch,dinner",100g,Chicken Breast,FastFood,163.0,source_value_available_but_variant_check_needed,Uploaded Kaggle base dataset,Source row/category: FastFood; duplicate variants in raw dataset: 4,31,0,3.6,0,74
high,Extra-Firm Tofu,टोफू,protein,"lunch,dinner",100g,Extra-Firm Tofu,Legumes,91.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Legumes; duplicate variants in raw dataset: 1,10,2,5,0.3,14
high,Firm Tofu,टोफू,protein,"lunch,dinner",100g,Firm Tofu,Legumes,70.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Legumes; duplicate variants in raw dataset: 1,8,1.6,4,0.2,12
high,Tofu,टोफू,protein,"lunch,dinner",100g,Tofu,Legumes,76.0,source_value_available,Uploaded Kaggle base dataset,Source row/category: Legumes; duplicate variants in raw dataset: 1,8,1.9,4.8,0.3,7
